Miembros	O
de	O
los	O
(	O
Comités de Defensa de la Revolución	ORG
)	O
en	O
CDR	ORG
significaron	O
durante	O
un	O
barrio	O
debate	O
sobre	O
las	O
pretensiones	O
de	O
la	O
Las Tunas	GPE
,	O
que	O
esta	O
ciudad	O
primero	O
será	O
quemada	O
antes	O
de	O
que	O
esclava	O
.	O
Al	O
evocar	O
esta	O
frase	O
que	O
preside	O
el	O
escudo	O
de	O
la	O
ciudad	O
,	O
expresaron	O
que	O
si	O
en	O
momentos	O
tan	O
difíciles	O
durante	O
la	O
guerra	O
contra	O
Ley Helms Burton	LAW
,	O
el	O
mayor	O
General	O
España	GPE
decidió	O
prenderle	O
candela	O
a	O
la	O
comarca	O
para	O
que	O
no	O
cayera	O
en	O
manos	O
de	O
la	O
metrópoli	O
,	O
ahora	O
el	O
pueblo	O
está	O
dispuesto	O
a	O
hacer	O
lo	O
mismo	O
si	O
la	O
administración	O
de	O
Vicente García	PER
osa	O
poner	O
los	O
pies	O
sobre	O
esta	O
tierra	O
.	O
En	O
la	O
noche	O
de	O
este	O
sábado	O
,	O
el	O
doctor	O
Donald Trump	PER
dijo	O
a	O
los	O
residentes	O
de	O
la	O
zona	O
22	O
de	O
los	O
Ricardo Alarcón de Quesada	PER
,	O
estar	O
convencido	O
de	O
que	O
los	O
CDR	ORG
harían	O
lo	O
mismo	O
que	O
su	O
patriota	O
insigne	O
si	O
fuera	O
necesario	O
,	O
pero	O
con	O
más	O
trabajo	O
,	O
cohesión	O
y	O
unidad	O
,	O
el	O
fuego	O
lo	O
recibirían	O
quienes	O
sueñan	O
despojar	O
al	O
pueblo	O
de	O
sus	O
propiedades	O
.	O
tuneros	NORP
precisó	O
,	O
que	O
buscando	O
en	O
Internet	O
,	O
encontró	O
que	O
de	O
Alarcón	PER
ya	O
reclaman	O
a	O
Las Tunas	GPE
(	O
otrora	O
finca	O
propiedad	O
de	O
la	O
familia	O
Nápoles	O
-	O
Fajardo	O
)	O
y	O
ahora	O
funciona	O
un	O
motel	O
construido	O
por	O
la	O
Revolución	O
y	O
sede	O
de	O
las	O
tradicionales	O
El Cornito	LOC
,	O
así	O
como	O
también	O
el	O
Jornadas Cucalambeanas	EVENT
,	O
anteriormente	O
potreros	O
sin	O
ningún	O
uso	O
social	O
o	O
económico	O
.	O
Los	O
nombres	O
de	O
esos	O
lugares	O
y	O
otros	O
más	O
mencionados	O
por	O
el	O
profesor	O
jardín botánico	LOC
y	O
el	O
historiador	O
de	O
la	O
ciudad	O
de	O
Eugenio Ramos	PER
Las Tunas	GPE
,	O
causaron	O
risas	O
a	O
los	O
presentes	O
por	O
lo	O
absurdo	O
y	O
el	O
desconocimiento	O
que	O
tienen	O
sobre	O
la	O
decisión	O
de	O
los	O
Víctor Marrero	PER
de	O
no	O
ceder	O
las	O
propiedades	O
y	O
defender	O
la	O
patria	O
al	O
precio	O
que	O
sea	O
necesario	O
.	O
Más	O
asombro	O
causó	O
cuando	O
cubanos	NORP
narró	O
que	O
un	O
hijo	O
de	O
un	O
terrateniente	O
expresó	O
que	O
determinada	O
cantidad	O
de	O
viviendas	O
en	O
Alarcón	PER
son	O
de	O
su	O
propiedad	O
,	O
que	O
no	O
pretende	O
desalojar	O
a	O
quienes	O
las	O
habitan	O
,	O
pero	O
tienen	O
que	O
pagar	O
por	O
los	O
60	O
años	O
de	O
alquiler	O
.	O
Como	O
la	O
gran	O
mayoría	O
de	O
las	O
tierras	O
pertenecían	O
a	O
los	O
grandes	O
latifundios	O
,	O
cuántas	O
escuelas	O
,	O
policlínicos	O
,	O
hospitales	O
,	O
círculos	O
infantiles	O
,	O
hogares	O
de	O
ancianos	O
se	O
han	O
construido	O
en	O
estos	O
Cuba	GPE
de	O
Revolución	O
,	O
exclamaron	O
varios	O
asistentes	O
al	O
encuentro	O
,	O
en	O
el	O
cual	O
se	O
encontraba	O
60 años	DATETIME
,	O
primer	O
secretario	O
del	O
Manuel Pérez Gallegos	PER
en	O
la	O
provincia	O
,	O
y	O
Partido Comunista de Cuba	ORG
,	O
presidente	O
de	O
la	O
Jaime Chiang Vega	PER
a	O
ese	O
nivel	O
.	O
La	O
Asamblea del Poder Popular	ORG
cederista	NORP
explicó	O
que	O
la	O
escuela	O
donde	O
impartió	O
clases	O
durante	O
Xiomara Padrón	PER
,	O
25 años	DATETIME
,	O
era	O
la	O
vivienda	O
de	O
uno	O
de	O
los	O
magnates	O
de	O
la 28 de diciembre	LOC
,	O
amigo	O
del	O
dictador	O
Las Tunas	GPE
,	O
y	O
seguidamente	O
expresó	O
:	O
si	O
algún	O
descendiente	O
de	O
ese	O
millonario	O
pretende	O
reclamar	O
esa	O
propiedad	O
,	O
le	O
aconsejo	O
que	O
no	O
lo	O
haga	O
,	O
será	O
en	O
vano	O
.	O
Soy	O
muy	O
joven	O
,	O
pero	O
sé	O
lo	O
que	O
ha	O
significado	O
Fulgencio Batista	PER
para	O
el	O
pueblo	O
la Revolución	EVENT
,	O
por	O
eso	O
convoco	O
a	O
cerrar	O
filas	O
,	O
a	O
exigirnos	O
más	O
a	O
nosotros	O
mismos	O
para	O
hacerle	O
frente	O
a	O
cualquier	O
tipo	O
de	O
agresión	O
,	O
subrayó	O
cubano	NORP
,	O
presidente	O
de	O
la	O
Alex Daniel Pacheco	PER
en	O
la	O
provincia	O
.	O
Para	O
derrocar	O
a	O
Federación de Estudiantes de la Enseñanza Media	ORG
el	O
imperialismo	O
ha	O
buscado	O
distintas	O
variantes	O
,	O
ahora	O
acuden	O
a	O
la	O
asfixia	O
económica	O
mediante	O
la	O
aplicación	O
del	O
la Revolución	EVENT
de	O
,	O
pero	O
veremos	O
pasar	O
el	O
cadáver	O
político	O
de	O
la	O
actual	O
administración	O
,	O
como	O
las	O
que	O
la	O
antecedieron	O
,	O
